Error Type;Error Scope;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Canonical_character_name;num_AO3_stories;Qrank;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Canonical_character_name.1;num_AO3_stories.1;Qrank.1;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Classification;Reason;words
;;"""You watch when Achilles strikes your brother down, watch your brother's glorious form fall under the wrath of a goddess's son, and you can almost hear your brother telling you again that he hates you, that you are the reason he won't live to see the sun set this day.""";narrator;second;Hector (Ancient Greek Religion & Lore);491;787684;Hector;Hector;1;0;0;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;Achilles;1;0;0;0;slaying;struck down;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1122
;;"""""Because I killed Patroclus, Achilles won't let me live.""""";direct speech;second;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;Patroclus;1;0;0;0;Hector (Ancient Greek Religion & Lore);491;787684;Hector;Hector;1;0;0;0;unspecified;killed;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1122
MIN;KE;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles' opponents;;0;0;1;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;stabbing;;0;0;1;0;Incorrect;All three elements have FP or FN.;5730
MIN;KE;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles' opponents;;0;0;1;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;slashing;;0;0;1;0;Incorrect;All three elements have FP or FN.;5730
MAJ;KE;"""He is both more and less fierce at the same time: he is more efficient and methodical at killing his enemies, but his attention is also less concentrated on the task at hand, like something big's happening elsewhere. """;narrator;second;Hector (Ancient Greek Religion & Lore);491;787684;Hector's enemies;;0;0;1;0;Hector (Ancient Greek Religion & Lore);491;787684;Hector;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;5730
MAJ;KE;"""He chides you for not burying his body, but you cannot help it. You cannot bear to let him go, to watch the flames engulf and consume him, to never touch that lovely face and beautiful skin again. But you still cannot refuse him, so you tell him yes. Even as a ghost, you want him and love him, and you ask him to come closer so you can hold him one moment more. But he disappears before you can reach him, and you are left alone again. You have gotten your everlasting glory at a terrible price, and you do not care about dying here any longer. You will not let it claim you easily, but you will not fight it, either, not when Patroclus is waiting for you on the other side. """;narrator;second;Patroclus of Opus (Ancient Greek Religion & Lore);889;946352;Patroclus;;1;0;0;0;;;;---;enemy fighters;0;1;0;0;unspecified;spears thrust into the body;0;1;0;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;5730
MAJ;KE;"""The Amazon Queen is a good opponent, but you defeat her in the end the same way you have defeated everyone else. Even in death, she looks beautiful, and it reminds you of Patroclus lying before you, hint of blood still on his golden skin reminding you of how he must have died.""";narrator;second;Penthesilea;16;233777;The Amazon Queen;Amazon Queen;1;0;0;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;narrator;0;1;1;0;unspecified;fatal battle injuries;0;1;0;1;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;5730
MIN;KE;"""When you kill a young boy who looks the way Patroclus did years ago, you think, but you are not Patroclus, and you do not have an Achilles who would do anything to keep you alive. """;narrator;second;;;;a young boy;;0;0;1;0;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;5730
MIN;KE;"""They are ready for your attack, and it goes badly at first when Achaeans are being slaughtered even before they set foot on land.""";narrator;second;;;;Achaeans;;0;0;1;0;;;;Trojans;;0;0;1;0;shot;;0;0;1;0;Incorrect;All three elements have FP or FN.;5730
MAJ;KE;"""What can you say about a twenty-one year old boy who died? Pluto never had the chance to summon him. He was actually twenty-eight when it happened, the arrow flying into his heel almost an accident, if anything the stars have orchestrated for eternities can be an accident. What can you say about Achilles dying?""";narrator;third;Achilles (Ancient Greek Religion & Lore);1113;4188968;Achilles;Achilles;1;0;0;0;;;;unspecified;fate/stars;0;1;0;0;being shot;arrow to heel;1;0;0;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;1574
