Summary;Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;words
Alexandros, also known as Paris, lies alone in his extravagant bed, unable to sleep due to his complicated relationships and past mistakes. He reflects on his unrequited love for his brother Hector, who is now dead, murdered by Achilles as revenge for killing Patroclus. Hector's death was a result of Paris' actions, and he feels guilty for causing the war that led to his brother's demise. The story also mentions the funeral games where Paris received his share, implying that others have died in the conflict. In his grief and anger, Paris vows to avenge Hector's death, praying for Phoebus Apollo's help, who had favored Hector.;False positive & false negative;Question Answering;;unspecified;;0;0;0;1;Patroclus;Patroclus;1;0;0;0;Hector;Paris;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;direct speech;second;1122
Alexandros, also known as Paris, lies alone in his extravagant bed, unable to sleep due to his complicated relationships and past mistakes. He reflects on his unrequited love for his brother Hector, who is now dead, murdered by Achilles as revenge for killing Patroclus. Hector's death was a result of Paris' actions, and he feels guilty for causing the war that led to his brother's demise. The story also mentions the funeral games where Paris received his share, implying that others have died in the conflict. In his grief and anger, Paris vows to avenge Hector's death, praying for Phoebus Apollo's help, who had favored Hector.;False negative;Summary;False negative MOD: There is no details about how Achilles killed Hector in the summary;slaying;;0;0;1;0;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;second;1122
Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;Generic character death;Summary;Generic Character Death;shot;;0;0;1;0;Achaeans;;0;0;1;0;Trojans;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;second;5730
Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;Generic character death;Summary;Generic character death;stabbing;;0;0;1;0;Achilles;Achilles;1;0;0;0;Achilles' opponents;;0;0;1;0;Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;narrator;second;5730
Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;False negative;Summary;Unclear annotations: is this death event OK to annotate?;unspecified;;0;0;0;1;Hector's enemies;;0;0;1;0;Hector;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;5730
Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;False positive;Summary;;unspecified;spears thrust;0;0;1;0;Patroclus;Patroclus;1;0;0;0;---;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;second;5730
Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;;;;unspecified;;0;0;0;1;The Amazon Queen;Amazon Queen;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;second;5730
Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;Generic character death;Summary;;;;0;0;0;1;a young boy;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors;narrator;second;5730
Achilles' lover, Patroclus, is killed by multiple spears thrust into his body, though the text does not specify who threw them. Achilles is devastated and cannot bear to bury him or let him go. In his grief, he has sex with Briseis, a woman he had previously won as a prize, but also continues to seek out Patroclus at night. Later, Achilles kills the Amazon Queen in battle and then has sex with her corpse, which reminds him of Patroclus' dead body. Eventually, Achilles dies, and his ghost is reunited with Patroclus on the other side.;Generic character death;Summary;;stabbing;;0;0;1;0;Achilles' opponents;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors ;narrator;second;5730
Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;Generic character death;Summary;Generic Character Death;unspecified;;0;0;0;1;A twenty-one year old girl;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
