Error Type;Error Scope;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;summary_P;Classification;Reason;words
MIN;KE;"""Medusa had killed hundreds of men with a single glance; this newcomer was nothing but another nameless body to be added to the list of deceased. No one who met her gaze ever breathed again.""";narrator;third;hundreds of men;;0;0;1;0;Medusa;;0;0;1;0;petrification;;0;0;1;0;Medusa, once a beautiful woman cursed by Athena after being assaulted by Poseidon, lives on the Island of the Gorgons, turning men into statues. Perseus arrives with a golden shield, using it as a mirror to locate her. Medusa, initially intrigued and flirtatious, reveals her past beauty but is horrified when she sees her reflection in the shield, showing her now aged and serpent-haired form. Perseus seizes the moment of her distraction to behead her, killing her instantly.;Incorrect;All three elements have FP or FN.;1716
FPFNmaj;SUM;"""And then she heard the sound of steel slicing through flesh and she saw the sky for a moment before everything went black.""";narrator;third;Medusa;Medusa;1;0;0;0;Perseus;Perseus;1;0;0;0;slashing;beheaded;0;1;1;0;Medusa, once a beautiful woman cursed by Athena after being assaulted by Poseidon, lives on the Island of the Gorgons, turning men into statues. Perseus arrives with a golden shield, using it as a mirror to locate her. Medusa, initially intrigued and flirtatious, reveals her past beauty but is horrified when she sees her reflection in the shield, showing her now aged and serpent-haired form. Perseus seizes the moment of her distraction to behead her, killing her instantly.;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;1716
MIN;SUM;"""The priestess stopped her backwards retreat, her feet seemingly rooted to the ground. There was a soft clicking as the silk slippers she wore seemed to harden and turn a soft shade of grey. Then, her ankles began the strange transformation, then her calves and her thighs. Medusa saw the girl struggle, but she noticed how the priestess's eyes remained on her at all times. The priestess's whole body turned grey and Medusa watched as one of the priestess's veins pulsed slowly through its alabaster prison. She watched with her own horror as it slowed to a stop, the priestess now a sister to the idol standing next to her.""";narrator;third;a priestess;;0;0;1;0;Medusa;;0;0;1;0;petrification;;0;0;1;0;Medusa, once a beautiful woman cursed by Athena after being assaulted by Poseidon, lives on the Island of the Gorgons, turning men into statues. Perseus arrives with a golden shield, using it as a mirror to locate her. Medusa, initially intrigued and flirtatious, reveals her past beauty but is horrified when she sees her reflection in the shield, showing her now aged and serpent-haired form. Perseus seizes the moment of her distraction to behead her, killing her instantly.;Incorrect;All three elements have FP or FN.;1716
;;"""He was among the best of men, was Hector husband of Andromache, father of Astynax, beloved. Andromache gave herself up to grief and rage when Achilles killed him, but Helen fell into herself. """;narrator;third;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;unspecified;killed;1;0;0;0;Helen of Sparta, possessing an empty, goddess-like beauty, is treated as a possession by her husband and later by Paris, whose desire for her Aphrodite ignited, sparking the Trojan War. In Troy, Helen becomes a catalyst for destruction, and as Aphrodite's influence wanes, Paris's infatuation fades. She finds solace in Hector, who treats her with genuine kindness, but he is killed by Achilles. After Troy's fall, Helen returns to Sparta, emotionally numb, finding comfort in her children's love. Centuries later, Marlowe portrays her as a powerful figure, though she would laugh at the idea, still grieving. In the afterlife, free from her dehumanizing beauty, Helen finally finds peace. Hector is killed by Achilles, with Andromache left to mourn his loss.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;682
FPmaj;SUM;;;;;Agamemnon;0;1;0;0;;;0;0;0;1;;;0;0;0;1;Cassandra enters the palace with her eyes closed, guided by her intuition, haunted by visions of blood and death, including Agamemnon's demise. Clytaemnestra confronts her, enraged, calling her a harlot and attacking her physically, dragging her by the clothes and striking her against the wall. Cassandra laughs uncontrollably, overwhelmed by visions of the past decade of war from multiple perspectives. The narrative flashes back to emotional exchanges between Helen and another character, revealing themes of loss, loneliness, and broken relationships. Clytaemnestra's anger escalates, and she kills Cassandra by beating her to death. The story concludes with Cassandra's final vision of a blood-streaked woman before her death.;Incorrect;Errors but no TPs.;520
FPFNmaj;SUM;"""The last sight Cassandra sees is her most complete and perfect vision; it's accompanied by a crack like thunder.""";narrator;third;Cassandra;Cassandra;1;0;0;0;Clytaemnestra;Clytaemnestra;1;0;0;0;slaying;beaten to death;0;1;1;0;Cassandra enters the palace with her eyes closed, guided by her intuition, haunted by visions of blood and death, including Agamemnon's demise. Clytaemnestra confronts her, enraged, calling her a harlot and attacking her physically, dragging her by the clothes and striking her against the wall. Cassandra laughs uncontrollably, overwhelmed by visions of the past decade of war from multiple perspectives. The narrative flashes back to emotional exchanges between Helen and another character, revealing themes of loss, loneliness, and broken relationships. Clytaemnestra's anger escalates, and she kills Cassandra by beating her to death. The story concludes with Cassandra's final vision of a blood-streaked woman before her death.;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;520
;;"""The prophecy says if Troilus dies before he's twenty, the Achaeans will succeed."" [...] ""He draws his sword and puts the tip to the base of Troilus's perfect neck; Troilus bows his head almost as if he understands that this must happen, because the gods have willed it even if the two of them do not. Achilles washes Apollo's marble feet with the blood of his beautiful son and he leaves the body there before him.""";narrator;third;Troilus;Troilus;1;0;0;0;Achilles;Achilles;1;0;0;0;beheading;slit throat with sword;1;0;0;0;Achilles and Troilus engage in an intimate encounter at Apollo's altar, where Achilles dominates Troilus physically and emotionally, culminating in mutual climax. Afterward, Achilles contemplates taking Troilus with him but knows it’s impossible due to a prophecy stating that if Troilus dies before twenty, the Achaeans will triumph. Resigned to fate, Achilles sacrifices Troilus by slitting his throat with his sword at Apollo's feet, believing it necessary for Troy's fall and fulfilling the god's will. This act haunts Achilles, who leaves the temple after the deed, marking one of many deaths he will cause in the war.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;2454
FNmaj;SUM;"""This will not be the only death before the war is done, and will not be the only one at Achilles's hands, but it's one he will remember.""";narrator;third;unspecified;;0;0;0;1;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Achilles and Troilus engage in an intimate encounter at Apollo's altar, where Achilles dominates Troilus physically and emotionally, culminating in mutual climax. Afterward, Achilles contemplates taking Troilus with him but knows it’s impossible due to a prophecy stating that if Troilus dies before twenty, the Achaeans will triumph. Resigned to fate, Achilles sacrifices Troilus by slitting his throat with his sword at Apollo's feet, believing it necessary for Troy's fall and fulfilling the god's will. This act haunts Achilles, who leaves the temple after the deed, marking one of many deaths he will cause in the war.;Incorrect;Errors but no TPs.;2454
;;"""""Because I killed Patroclus, Achilles won't let me live.""""";direct speech;second;Patroclus;Patroclus;1;0;0;0;Hector;Hector;1;0;0;0;unspecified;killed;1;0;0;0;Paris reflects on his tumultuous relationship with his brother Hector, who he deeply loved but whose death he feels responsible for. The story reveals two significant deaths: Patroclus, killed by Hector, which provokes Achilles to seek revenge, leading to Hector's demise at Achilles' hands in battle. Paris grapples with guilt and grief, ultimately vowing to avenge Hector's death.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1122
;;"""You watch when Achilles strikes your brother down, watch your brother's glorious form fall under the wrath of a goddess's son, and you can almost hear your brother telling you again that he hates you, that you are the reason he won't live to see the sun set this day.""";narrator;second;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;slaying;slain in battle;1;0;0;0;Paris reflects on his tumultuous relationship with his brother Hector, who he deeply loved but whose death he feels responsible for. The story reveals two significant deaths: Patroclus, killed by Hector, which provokes Achilles to seek revenge, leading to Hector's demise at Achilles' hands in battle. Paris grapples with guilt and grief, ultimately vowing to avenge Hector's death.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;1122
MIN;SUM;"""They are ready for your attack, and it goes badly at first when Achaeans are being slaughtered even before they set foot on land.""";narrator;second;Achaeans;;0;0;1;0;Trojans;;0;0;1;0;shot;;0;0;1;0;"Achilles’ story intertwines with Patroclus’, whose death haunts him deeply. Patroclus dies from spear wounds inflicted during battle, though the exact perpetrators are not named; Achilles is unable to bear parting with his body and reluctantly agrees to cremate it. The Amazon Queen is defeated by Achilles in combat, her death mirroring the beauty of Patroclus’ lifeless form. Achilles also reflects on his own impending death, no longer fearing it as he believes Patroclus awaits him. Throughout, Achilles’ love for Patroclus endures even after death, overshadowing other relationships and conquests like those with Briseis and the Amazon Queen.";Incorrect;All three elements have FP or FN.;5730
;;"""The Amazon Queen is a good opponent, but you defeat her in the end the same way you have defeated everyone else. Even in death, she looks beautiful, and it reminds you of Patroclus lying before you, hint of blood still on his golden skin reminding you of how he must have died.""";narrator;second;The Amazon Queen;Amazon Queen;1;0;0;0;Achilles;Achilles;1;0;0;0;unspecified;combat;1;0;0;0;"Achilles’ story intertwines with Patroclus’, whose death haunts him deeply. Patroclus dies from spear wounds inflicted during battle, though the exact perpetrators are not named; Achilles is unable to bear parting with his body and reluctantly agrees to cremate it. The Amazon Queen is defeated by Achilles in combat, her death mirroring the beauty of Patroclus’ lifeless form. Achilles also reflects on his own impending death, no longer fearing it as he believes Patroclus awaits him. Throughout, Achilles’ love for Patroclus endures even after death, overshadowing other relationships and conquests like those with Briseis and the Amazon Queen.";Correct;No errors for Victim, Perpetrator, or Mode of Demise.;5730
FNmaj;SUM;"""When you kill a young boy who looks the way Patroclus did years ago, you think, but you are not Patroclus, and you do not have an Achilles who would do anything to keep you alive. """;narrator;second;a young boy;;0;0;1;0;Achilles;;0;0;1;0;unspecified;;0;0;0;1;"Achilles’ story intertwines with Patroclus’, whose death haunts him deeply. Patroclus dies from spear wounds inflicted during battle, though the exact perpetrators are not named; Achilles is unable to bear parting with his body and reluctantly agrees to cremate it. The Amazon Queen is defeated by Achilles in combat, her death mirroring the beauty of Patroclus’ lifeless form. Achilles also reflects on his own impending death, no longer fearing it as he believes Patroclus awaits him. Throughout, Achilles’ love for Patroclus endures even after death, overshadowing other relationships and conquests like those with Briseis and the Amazon Queen.";Incorrect;Errors but no TPs.;5730
MIN;SUM;"""Fighting is in your blood, and it is always a rush killing your opponents, a simple stab of your spear or maybe a deep slash of your dagger."" [...] ""You only care about the way it feels as you move along the battlefield, an endless thrill and high and breathlessness as you dodge and stab and slash and block and kill.""";narrator;second;Achilles' opponents;;0;0;1;0;Achilles;;0;0;1;0;stabbing;;0;0;1;0;"Achilles’ story intertwines with Patroclus’, whose death haunts him deeply. Patroclus dies from spear wounds inflicted during battle, though the exact perpetrators are not named; Achilles is unable to bear parting with his body and reluctantly agrees to cremate it. The Amazon Queen is defeated by Achilles in combat, her death mirroring the beauty of Patroclus’ lifeless form. Achilles also reflects on his own impending death, no longer fearing it as he believes Patroclus awaits him. Throughout, Achilles’ love for Patroclus endures even after death, overshadowing other relationships and conquests like those with Briseis and the Amazon Queen.";Incorrect;All three elements have FP or FN.;5730
FP;SUM;"""He chides you for not burying his body, but you cannot help it. You cannot bear to let him go, to watch the flames engulf and consume him, to never touch that lovely face and beautiful skin again. But you still cannot refuse him, so you tell him yes. Even as a ghost, you want him and love him, and you ask him to come closer so you can hold him one moment more. But he disappears before you can reach him, and you are left alone again. You have gotten your everlasting glory at a terrible price, and you do not care about dying here any longer. You will not let it claim you easily, but you will not fight it, either, not when Patroclus is waiting for you on the other side. """;narrator;second;Patroclus;Patroclus;1;0;0;0;---;;0;0;0;1;unspecified;spear wounds;0;1;0;0;"Achilles’ story intertwines with Patroclus’, whose death haunts him deeply. Patroclus dies from spear wounds inflicted during battle, though the exact perpetrators are not named; Achilles is unable to bear parting with his body and reluctantly agrees to cremate it. The Amazon Queen is defeated by Achilles in combat, her death mirroring the beauty of Patroclus’ lifeless form. Achilles also reflects on his own impending death, no longer fearing it as he believes Patroclus awaits him. Throughout, Achilles’ love for Patroclus endures even after death, overshadowing other relationships and conquests like those with Briseis and the Amazon Queen.";Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;5730
FNmaj;SUM;"""He is both more and less fierce at the same time: he is more efficient and methodical at killing his enemies, but his attention is also less concentrated on the task at hand, like something big's happening elsewhere. """;narrator;second;Hector;;0;0;1;0;Hector's enemies;;0;0;1;0;unspecified;;0;0;0;1;"Achilles’ story intertwines with Patroclus’, whose death haunts him deeply. Patroclus dies from spear wounds inflicted during battle, though the exact perpetrators are not named; Achilles is unable to bear parting with his body and reluctantly agrees to cremate it. The Amazon Queen is defeated by Achilles in combat, her death mirroring the beauty of Patroclus’ lifeless form. Achilles also reflects on his own impending death, no longer fearing it as he believes Patroclus awaits him. Throughout, Achilles’ love for Patroclus endures even after death, overshadowing other relationships and conquests like those with Briseis and the Amazon Queen.";Incorrect;Errors but no TPs.;5730
