Summary;Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;words
Alexandros, also known as Paris, lies awake in his bed, haunted by the weight of his past mistakes and the loss of the one person he ever truly loved: his brother Hector. In a flashback, it is revealed that Hector had expressed his anger and hurt towards Paris for bringing Helen to Troy, which ultimately led to the war and his own demise. Despite this, Hector confessed his love for Paris, and the two shared a passionate moment together. The story then cuts back to the present, where Paris puts on his armor, preparing for battle after Hector's death at the hands of Achilles. Consumed by grief and guilt, Paris vows to avenge Hector's death, praying to Phoebus Apollo for help.;False negative;Summary;;unspecified;;0;0;0;1;Patroclus;;0;0;1;0;Hector;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;second;1122
Alexandros, also known as Paris, lies awake in his bed, haunted by the weight of his past mistakes and the loss of the one person he ever truly loved: his brother Hector. In a flashback, it is revealed that Hector had expressed his anger and hurt towards Paris for bringing Helen to Troy, which ultimately led to the war and his own demise. Despite this, Hector confessed his love for Paris, and the two shared a passionate moment together. The story then cuts back to the present, where Paris puts on his armor, preparing for battle after Hector's death at the hands of Achilles. Consumed by grief and guilt, Paris vows to avenge Hector's death, praying to Phoebus Apollo for help.;False negative;Summary;;slaying;;0;0;1;0;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;second;1122
Alexandros, also known as Paris, lies awake in his bed, haunted by the weight of his past mistakes and the loss of the one person he ever truly loved: his brother Hector. In a flashback, it is revealed that Hector had expressed his anger and hurt towards Paris for bringing Helen to Troy, which ultimately led to the war and his own demise. Despite this, Hector confessed his love for Paris, and the two shared a passionate moment together. The story then cuts back to the present, where Paris puts on his armor, preparing for battle after Hector's death at the hands of Achilles. Consumed by grief and guilt, Paris vows to avenge Hector's death, praying to Phoebus Apollo for help.;Generic character death;Summary;;stabbing;;0;0;1;0;Achilles' opponents;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;;1122
The narrator, a warrior, has been at war for ten years and has developed strong feelings for Patroclus, with whom he shares a deep love. He is awarded Briseis as a prize, but his attention remains on Patroclus, and they share intimate moments together. Despite their love, the narrator's actions cause tension between them, leading to periods of anger and distance. Ultimately, the narrator loses Patroclus, who dies in battle, and he is consumed by grief, unable to bear the thought of living without him.;Generic character death;Summary;;shot;;0;0;1;0;Achaeans;;0;0;1;0;Trojans;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;second;5730
The narrator, a warrior, has been at war for ten years and has developed strong feelings for Patroclus, with whom he shares a deep love. He is awarded Briseis as a prize, but his attention remains on Patroclus, and they share intimate moments together. Despite their love, the narrator's actions cause tension between them, leading to periods of anger and distance. Ultimately, the narrator loses Patroclus, who dies in battle, and he is consumed by grief, unable to bear the thought of living without him.;False negative;Summary;;stabbing;;0;0;1;0;Achilles;;0;0;1;0;Achilles' opponents;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;second;5730
The narrator, a warrior, has been at war for ten years and has developed strong feelings for Patroclus, with whom he shares a deep love. He is awarded Briseis as a prize, but his attention remains on Patroclus, and they share intimate moments together. Despite their love, the narrator's actions cause tension between them, leading to periods of anger and distance. Ultimately, the narrator loses Patroclus, who dies in battle, and he is consumed by grief, unable to bear the thought of living without him.;Generic character death;Summary;;unspecified;;0;0;0;1;a young boy;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;5730
The narrator, a warrior, has been at war for ten years and has developed strong feelings for Patroclus, with whom he shares a deep love. He is awarded Briseis as a prize, but his attention remains on Patroclus, and they share intimate moments together. Despite their love, the narrator's actions cause tension between them, leading to periods of anger and distance. Ultimately, the narrator loses Patroclus, who dies in battle, and he is consumed by grief, unable to bear the thought of living without him.;False negative;Summary;;unspecified;;0;0;0;1;Hector's enemies;;0;0;1;0;Hector;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;5730
The narrator, a warrior, has been at war for ten years and has developed strong feelings for Patroclus, with whom he shares a deep love. He is awarded Briseis as a prize, but his attention remains on Patroclus, and they share intimate moments together. Despite their love, the narrator's actions cause tension between them, leading to periods of anger and distance. Ultimately, the narrator loses Patroclus, who dies in battle, and he is consumed by grief, unable to bear the thought of living without him.;False positive;Summary;;unspecified;battle;0;1;0;0;Patroclus;Patroclus;1;0;0;0;---;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;second;5730
The narrator, a warrior, has been at war for ten years and has developed strong feelings for Patroclus, with whom he shares a deep love. He is awarded Briseis as a prize, but his attention remains on Patroclus, and they share intimate moments together. Despite their love, the narrator's actions cause tension between them, leading to periods of anger and distance. Ultimately, the narrator loses Patroclus, who dies in battle, and he is consumed by grief, unable to bear the thought of living without him.;False negative;Summary;;unspecified;;0;0;0;1;The Amazon Queen;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;5730
"Achilles met Penthesilea, the queen of the Amazons, three years before they clashed on the battlefield. They had a brief, intense encounter where Achilles was smitten with her, but she discouraged him from using her name and instead suggested he call her """"Your Majesty"""". Three years later, they faced each other in battle, their movements and cries revealing a deep passion and familiarity with each other. Despite his feelings for her, Achilles ultimately killed Penthesilea, slicing through her heart after she had wounded him. As he knelt beside her lifeless body to close her eyes, he remembered their past encounter and the wisdom and bravery that had drawn him to her.""";Generic character death;Summary;;unspecified;;0;0;0;1;A twenty-one year old girl;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
"Achilles met Penthesilea, the queen of the Amazons, three years before they clashed on the battlefield. They had a brief, intense encounter where Achilles was smitten with her, but she discouraged him from using her name and instead suggested he call her """"Your Majesty"""". Three years later, they faced each other in battle, their movements and cries revealing a deep passion and familiarity with each other. Despite his feelings for her, Achilles ultimately killed Penthesilea, slicing through her heart after she had wounded him. As he knelt beside her lifeless body to close her eyes, he remembered their past encounter and the wisdom and bravery that had drawn him to her.""";False negative;Summary;;illness (fever);;0;0;1;0;Alexander the Great;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
"Achilles met Penthesilea, the queen of the Amazons, three years before they clashed on the battlefield. They had a brief, intense encounter where Achilles was smitten with her, but she discouraged him from using her name and instead suggested he call her """"Your Majesty"""". Three years later, they faced each other in battle, their movements and cries revealing a deep passion and familiarity with each other. Despite his feelings for her, Achilles ultimately killed Penthesilea, slicing through her heart after she had wounded him. As he knelt beside her lifeless body to close her eyes, he remembered their past encounter and the wisdom and bravery that had drawn him to her.""";False negative;Summary;;chopping to pieces;;0;0;1;0;Pelops;;0;0;1;0;Tantalus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1574
"Achilles met Penthesilea, the queen of the Amazons, three years before they clashed on the battlefield. They had a brief, intense encounter where Achilles was smitten with her, but she discouraged him from using her name and instead suggested he call her """"Your Majesty"""". Three years later, they faced each other in battle, their movements and cries revealing a deep passion and familiarity with each other. Despite his feelings for her, Achilles ultimately killed Penthesilea, slicing through her heart after she had wounded him. As he knelt beside her lifeless body to close her eyes, he remembered their past encounter and the wisdom and bravery that had drawn him to her.""";False negative;Summary;;sacrifice;;0;0;1;0;Iphigeneia;;0;0;1;0;Agamemnon;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1574
"Achilles met Penthesilea, the queen of the Amazons, three years before they clashed on the battlefield. They had a brief, intense encounter where Achilles was smitten with her, but she discouraged him from using her name and instead suggested he call her """"Your Majesty"""". Three years later, they faced each other in battle, their movements and cries revealing a deep passion and familiarity with each other. Despite his feelings for her, Achilles ultimately killed Penthesilea, slicing through her heart after she had wounded him. As he knelt beside her lifeless body to close her eyes, he remembered their past encounter and the wisdom and bravery that had drawn him to her.""";;;;stabbing;slicing through her heart;1;0;0;0;Penthesilea;Penthesilea;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1574
"Achilles met Penthesilea, the queen of the Amazons, three years before they clashed on the battlefield. They had a brief, intense encounter where Achilles was smitten with her, but she discouraged him from using her name and instead suggested he call her """"Your Majesty"""". Three years later, they faced each other in battle, their movements and cries revealing a deep passion and familiarity with each other. Despite his feelings for her, Achilles ultimately killed Penthesilea, slicing through her heart after she had wounded him. As he knelt beside her lifeless body to close her eyes, he remembered their past encounter and the wisdom and bravery that had drawn him to her.""";False negative;Summary;;being shot;;0;0;1;0;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False negative;Summary;;vaporising;;0;0;1;0;Plexippus and Toxeus;Plexippus and Toxeus;1;0;0;0;Meleager;Meleager;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;1115
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False negative;Summary;;software malfunction;;0;0;1;0;Meleager;Meleager;1;0;0;0;Althea;Althea;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;direct thought;third;1115
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False positive;Question Answering;;suicide;;0;0;1;0;Althea;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1115
In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;False negative;Summary;;software malfunction/virus;;0;0;1;0;Unnamed Redshirts;;0;0;1;0;Diana Artémiso;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;third;1115
