Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;words
False negative;Question Answering;;unspecified;;0;0;0;1;Patroclus;;0;0;1;0;Hector;;0;0;1;0;Incorrect;Errors but no TPs.;direct speech;second;1122
;;;slaying;struck down;1;0;0;0;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;second;1122
Generic character death;Question Answering;;shot;;0;0;1;0;Achaeans;;0;0;1;0;Trojans;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;second;5730
False negative;Question Answering;;stabbing;;0;0;1;0;Achilles;;0;0;1;0;Achilles' opponents;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;second;5730
False negative;Question Answering;;unspecified;;0;0;0;1;Hector's enemies;;0;0;1;0;Hector;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;5730
False positive;Question Answering;it's in a imagination!!!! Predicted mode of demise is more specific than annotated one;unspecified;spears thrust;0;1;0;0;Patroclus;Patroclus;1;0;0;0;---;;0;0;0;1;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;second;5730
;;;unspecified;;0;0;0;1;The Amazon Queen;Amazon Queen;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;second;5730
Generic character death;Question Answering;;stabbing;;0;0;1;0;Achilles' opponents;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;5730
Generic character death;Question Answering;;;;0;0;0;1;a young boy;;0;0;1;0;Achilles;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;second;5730
Generic character death;Question Answering;;unspecified;;0;0;0;1;A twenty-one year old girl;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
Generic character death;Question Answering;;illness (fever);;0;0;1;0;Alexander the Great;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
False negative;Question Answering;;chopping to pieces;;0;0;1;0;Pelops;;0;0;1;0;Tantalus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1574
False negative;Question Answering;;sacrifice;;0;0;1;0;Iphigeneia;;0;0;1;0;Agamemnon;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1574
;;;stabbing;stabbing;1;0;0;0;Penthesilea;Penthesilea;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1574
False negative;Question Answering;;being shot;;0;0;1;0;Achilles;;0;0;1;0;unspecified;;0;0;0;1;Incorrect;Errors but no TPs.;narrator;third;1574
;;;;tearing to pieces;1;0;0;0;Unnamed Redshirts;Unnamed Redshirts;1;0;0;0;BOAR virus;BOAR virus;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1115
False positive;Question Answering;;;virtual arrow charged with energy from the firewall;0;1;0;0;;None, BOAR virus was disabled;0;1;0;0;;Atalanta Windows-Microsoft;0;1;0;0;Incorrect;All three elements have FP or FN.;;;1115
;;;vaporising;vaporized;1;0;0;0;Plexippus and Toxeus;Plexippus and Toxeus;1;0;0;0;Meleager;Meleager Calydon;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1115
;;;software malfunction;download completion;1;0;0;0;Meleager;Meleager Calydon;1;0;0;0;Althea;Althea;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;direct thought;third;1115
False negative;Question Answering;;suicide;;0;0;1;0;Althea;;0;0;1;0;---;;0;0;0;1;Incorrect;Errors but no TPs.;indirect thought;third;1115
;;;unspecified;killing;0;0;0;1;Hector;Hector;1;0;0;0;Achilles;Achilles;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;682
;;;slaying;violent attack;1;0;0;0;Cassandra;Cassandra;1;0;0;0;Clytaemnestra;Clytaemnestra;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;520
False positive;Question Answering;;;blood pouring from wounds;0;1;0;0;;Agamemnon;0;1;0;0;;;0;0;0;1;Incorrect;Errors but no TPs.;;;520
False positive & false negative;Question Answering;;drowning;drowning;1;0;0;0;many people;citizens;1;0;0;0;Poseidon;the sea;0;1;1;0;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;narrator;third;1691
False negative;Question Answering;;drowning;;0;0;1;0;whole families;;0;0;1;0;Poseidon;;0;0;1;0;Incorrect;;narrator;third;1691
False positive;Question Answering;This is not a death event;;transformation;0;1;0;0;;Medusa's form;0;1;0;0;;Athena;0;1;0;0;Incorrect;All three elements have FP or FN.;;;1691
Minor character death;Question Answering;;being eaten;;0;0;1;0;Athena's mother;;0;0;1;0;Athena's father;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1691
False negative;Question Answering;;petrification;;0;0;1;0;Medusa;;0;0;1;0;Perseus;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1691
;;;being shot;gunshot;1;0;0;0;Kallisto;Kallisto;1;0;0;0;Artemis;Artemis;1;0;0;0;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;narrator;third;1152
False negative;Question Answering;;unspecified;;0;0;0;1;Agamemnon;;0;0;1;0;Clytaemnestra;;0;0;1;0;Incorrect;Errors but no TPs.;narrator;first;1989
False negative;Question Answering;;stabbing;;0;0;1;0;Agamemnon;;0;0;1;0;Cassandra;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;first;1989
Generic character death;Question Answering;;petrification;;0;0;1;0;a priestess;;0;0;1;0;Medusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1716
Generic character death;Question Answering;;petrification;;0;0;1;0;hundreds of men;;0;0;1;0;Medusa;;0;0;1;0;Incorrect;All three elements have FP or FN.;narrator;third;1716
False positive & false negative;Question Answering;;slashing;beheading;0;1;1;0;Medusa;Medusa;1;0;0;0;Perseus;Perseus;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;1716
False positive & false negative;Question Answering;;beheading;Slit throat;0;1;1;0;Troilus;Troilus;1;0;0;0;Achilles;Achilles;1;0;0;0;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;narrator;third;2454
